DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZB,2022-12,128,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZB,2023-04,111,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZB,2023-06,7434,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZH,2022-07,2476046,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZH,2022-09,2287085,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZH,2022-11,1768481,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZH,2023-01,1694418,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZH,2023-03,2047984,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZH,2023-05,2499802,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2022-06,2773,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2022-08,1219,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2022-10,2920,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2022-12,2527,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CH_LSZR,2023-02,1657,
